time_stamp,open,high,low,close,volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,RSI,EMA_Fast,EMA_Slow,MACD,Signal,Upper_Band,Lower_Band,log_returns,rolling_volatility,momentum,days_since_traded
2021-06-25,2539.14,2550.1,2528.88,2539.9,1674297,2528.426,2523.84525036196,2493.9575,2492.146956362158,2402.8716,2398.0494199672403,2254.5254,2240.069696461298,1969.0320499999998,1912.0996932056225,65.85867733148105,2517.9157881974825,2472.7888287437536,45.12695945372889,47.284681835422745,2586.8954428208463,2401.0195571791537,-0.0022573816890545176,0.14899271649821905,25.970000000000255,2647
2021-06-24,2541.07,2550.71,2539.2,2545.64,946662,2525.829,2520.2775282201737,2487.088,2487.120320189754,2398.0068,2392.2596003740664,2248.4015,2234.0125186120313,1964.1173500000002,1905.7901423835683,69.7524620121315,2513.918658778843,2467.419935043254,46.49872373558901,47.824112430846206,2585.855213950584,2388.3207860494163,0.006467183275594648,0.14891059585078456,24.039999999999964,2646
2021-06-23,2531.0,2555.92,2525.04,2529.23,984658,2523.425,2514.6414233802125,2481.4825,2480.960353893938,2392.1908,2385.9991758995384,2241.9586,2227.717013937527,1959.0511000000001,1899.3594905482273,64.56100717186496,2508.151142193178,2461.1623298467143,46.988812346463874,48.1554596046605,2578.9750229790657,2383.9899770209345,-0.00424523542467795,0.17980996742889963,37.82999999999993,2645
2021-06-22,2529.0,2545.4,2520.53,2539.99,1049310,2519.642,2511.3995174647043,2475.4745,2475.8793385143526,2386.9516,2380.1530198138053,2235.0236999999997,2221.625842501922,1954.3601500000002,1893.029133669315,71.53841569021938,2504.318622591938,2455.716916234451,48.60170635748682,48.44712141920965,2575.358208481321,2375.5907915186785,0.004296635788050419,0.18549836593152166,57.13999999999987,2644
2021-06-21,2514.8,2540.73,2502.68,2529.1,1312826,2513.928,2505.0460769013057,2468.8085,2469.1308478316528,2381.2475999999997,2373.6290614388586,2228.2549,2215.194243360547,1949.8693999999998,1886.5270144097099,68.55781138434818,2497.832917608654,2448.9750695332073,48.85784807544678,48.40847518464036,2568.357679229388,2369.2593207706122,0.007043051066219636,0.2009560937576928,63.00999999999976,2643
2021-06-18,2514.11,2527.78,2492.06,2511.35,2665310,2507.627,2499.7007606571515,2459.6085,2462.8183054981428,2376.3832,2367.2833088445263,2221.2718000000004,2208.852712923386,1945.8653,1880.0689944540284,63.098883889633306,2492.1479935375,2442.565075095864,49.58291844163614,48.29613196193875,2569.19971522123,2350.01728477877,-0.006378562421137136,0.20100545046994084,59.58999999999969,2640
2021-06-17,2510.46,2543.93,2510.3,2527.42,1287791,2501.668,2497.112040803185,2451.8455000000004,2457.7097060768947,2371.465,2361.40303573614,2215.3307,2202.741656618808,1941.6121000000003,1873.7244617349734,73.05033415697096,2488.656719635227,2437.0622811035328,51.59443853169432,47.974435342014395,2567.8148492127293,2335.8761507872714,0.00535175387447619,0.20097183757636203,122.80999999999995,2639
2021-06-16,2524.95,2530.47,2483.0,2513.93,1307168,2489.387,2490.376938759449,2440.91,2450.3717804007783,2365.9102,2354.626833113125,2209.0505,2196.1824981666628,1937.1459,1867.1546573302996,69.55736177002012,2481.6088504779955,2429.8336635918154,51.77518688618011,47.06943454459441,2567.622929095581,2314.1970709044185,-0.0026735062869596184,0.2007962163134041,92.64999999999964,2638
2021-06-15,2530.44,2537.24,2512.97,2520.66,1109130,2480.1220000000003,2485.142925150438,2430.385,2443.681441495597,2360.1266,2348.1246630361097,2202.9217,2189.7633567154844,1926.6317499999998,1860.6544026301015,73.68675666971242,2475.732277837631,2423.1059566791605,52.626321158470546,45.89299645919798,2566.2022982548438,2294.5677017451567,-0.0025278853329074075,0.20815718905687072,90.84999999999991,2637
2021-06-14,2513.39,2528.23,2500.94,2527.04,1127522,2471.0370000000003,2477.2502418505355,2420.4224999999997,2435.5784353372387,2354.2244,2341.0824043845223,2196.6276,2183.07857604307,1916.0713500000002,1854.0211805459817,77.46515204552382,2467.5636010808366,2415.3016332134935,52.261967867343174,44.20966528437984,2557.5824563896986,2283.262543610301,0.005201391619866939,0.2090829215028572,115.48000000000002,2636
